URL_ID,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
1,0.204,0.004,0.9992,0.791,15.79069767,29.01325479,17.92158098,15.79069767,197,679,2.154639175,12,7.212076583
2,0.097,0,0.9865,0.903,17.22727273,27.96833773,18.07824418,17.22727273,106,379,2.168865435,0,7.736147757
3,0.149,0,0.9923,0.851,17.6875,34.27561837,20.78524735,17.6875,97,283,2.508833922,7,8.855123675
4,0.154,0.008,0.9992,0.838,15.47761194,23.52941176,15.60280948,15.47761194,244,1037,2.003857281,6,6.782063645
5,0.146,0.018,0.999,0.836,19.55555556,25.48701299,18.01702742,19.55555556,314,1232,2.034902597,1,6.561688312
7,0.15,0,0.979,0.85,16.45454545,41.98895028,23.37739829,16.45454545,76,181,2.834254144,1,10.20441989
8,0.116,0.094,0.8636,0.79,23,27.00922266,20.00368906,23,205,759,2.113306983,1,7.264822134
9,0.197,0.033,0.9936,0.771,18.4375,24.40677966,17.13771186,18.4375,72,295,1.989830508,7,6.613559322
10,0.186,0,0.9985,0.814,19.71428571,31.52173913,20.49440994,19.71428571,174,552,2.211956522,8,7.425724638
12,0.191,0.012,0.9987,0.797,13.66666667,22.99651568,14.66527294,13.66666667,132,574,1.968641115,23,6.641114983
13,0.117,0.005,0.9934,0.878,13.16666667,30.69620253,17.54514768,13.16666667,97,316,2.348101266,7,8.32278481
16,0.142,0,0.995,0.858,15.9,31.23689727,18.85475891,15.9,149,477,2.236897275,4,7.578616352
17,0.135,0.016,0.9993,0.849,19.87837838,23.38545207,17.30553218,19.87837838,344,1471,1.909585316,42,6.153636982
18,0.21,0.005,0.9998,0.785,19.59649123,20.94897046,16.21818467,19.59649123,234,1117,1.864816473,17,6.12354521
19,0.154,0.038,0.999,0.808,18.07272727,16.70020121,13.90917139,18.07272727,166,994,1.724346076,5,5.777665996
21,0.024,0.008,0.9652,0.968,7.554285714,8.169440242,6.289490383,7.554285714,108,1322,1.317700454,6,3.366111952
22,0.117,0.022,0.9867,0.861,17.64,26.98412698,17.84965079,17.64,119,441,2.145124717,9,7.281179138
23,0.106,0.006,0.9995,0.888,17.86734694,20.90234152,15.50787538,17.86734694,366,1751,1.857224443,31,6.113078241
24,0.145,0.041,0.987,0.814,16.9,34.02366864,20.36946746,16.9,115,338,2.431952663,0,8.369822485
25,0.192,0,0.9953,0.808,15.41176471,34.73282443,20.05783565,15.41176471,91,262,2.541984733,1,9.015267176
26,0.113,0.013,0.995,0.874,20.14814815,27.57352941,19.08867102,20.14814815,150,544,2.170955882,8,7.294117647
27,0.121,0.007,0.9985,0.872,17.05084746,22.26640159,15.72689962,17.05084746,224,1006,1.876739563,20,6.212723658
28,0.112,0.004,0.988,0.884,20.55555556,32.43243243,21.1951952,20.55555556,120,370,2.440540541,0,8.459459459
29,0.167,0,0.9947,0.833,21.85714286,33.66013072,22.20690943,21.85714286,103,306,2.506535948,0,9.120915033
30,0.132,0.003,0.9926,0.865,18.30769231,31.72268908,20.01215255,18.30769231,151,476,2.323529412,5,7.932773109
31,0.219,0.006,0.9998,0.775,23.10344828,23.73134328,18.73391662,23.10344828,318,1340,1.934328358,14,6.442537313
32,0.175,0,0.9964,0.825,24.5,30.6122449,22.04489796,24.5,120,392,2.341836735,0,8.142857143
33,0.077,0,0.9731,0.923,13.95833333,29.25373134,17.28482587,13.95833333,98,335,2.289552239,2,7.964179104
34,0.151,0.005,0.9939,0.844,15.9,35.22012579,20.44805031,15.9,112,318,2.581761006,0,9.261006289
35,0.129,0.021,0.9996,0.849,18.37162162,25.30342038,17.4700168,18.37162162,688,2719,1.941890401,1,6.037881574
36,0.153,0.062,0.9961,0.785,19.67647059,25.71001495,18.15459421,19.67647059,172,669,2.110612855,23,6.68161435
37,0.186,0.013,0.9989,0.8,18.52941176,27.61904762,18.45938375,18.52941176,174,630,2.104761905,17,6.895238095
38,0.115,0.009,0.9937,0.876,15.96774194,26.26262626,16.89214728,15.96774194,130,495,2.125252525,0,7.204040404
39,0.11,0.011,0.9947,0.878,16.2,25.04409171,16.49763668,16.2,142,567,2.031746032,0,6.941798942
40,0.133,0.006,0.997,0.861,17.71428571,29.67741935,18.95668203,17.71428571,184,620,2.220967742,0,7.383870968
41,0.128,0.004,0.9993,0.868,20.54285714,20.37552156,16.36735148,20.54285714,293,1438,1.877607789,25,6.173852573
42,0.182,0.005,0.9977,0.813,15.03571429,24.70308789,15.89552087,15.03571429,104,421,2.104513064,24,7.137767221
43,0.167,0.007,0.9979,0.825,18,27.92792793,18.37117117,18,186,666,2.138138138,17,7.219219219
44,0.131,0.002,0.997,0.866,17.92105263,24.52276065,16.97752531,17.92105263,167,681,2.086637298,14,7.044052863
46,0.154,0.012,0.9997,0.834,20.3372093,14.69411092,14.01252809,20.3372093,257,1749,1.671240709,38,5.539165237
47,0.181,0.015,0.999,0.804,18.95121951,24.71042471,17.46465769,18.95121951,192,777,2.020592021,25,6.616473616
48,0,0,0,1,15.625,6.4,8.81,15.625,8,125,1.28,0,3.648
49,0.119,0.003,0.9992,0.879,17.85897436,22.46949031,16.13138587,17.85897436,313,1393,1.970567121,12,6.486719311
50,0.178,0.013,0.9986,0.808,14.97674419,23.75776398,15.49380326,14.97674419,153,644,2.007763975,12,6.793478261
51,0.144,0.01,0.9906,0.846,16.72222222,38.87043189,22.23706165,16.72222222,117,301,2.747508306,0,10.10299003
53,0.115,0,0.9578,0.885,13.92307692,41.43646409,22.1438164,13.92307692,75,181,2.779005525,0,9.972375691
54,0.224,0.002,0.9997,0.775,21.01923077,26.53247941,19.02068407,21.01923077,290,1093,2.049405306,15,6.827081427
55,0.088,0,0.9709,0.912,15,42.66666667,23.06666667,15,96,225,2.862222222,1,10.25333333
56,0.166,0,0.9979,0.834,16.08823529,29.25045704,18.13547693,16.08823529,160,547,2.202925046,7,7.468007313
57,0.173,0.008,0.9911,0.82,15.17647059,37.20930233,20.95430917,15.17647059,96,258,2.558139535,1,8.945736434
58,0.137,0.005,0.999,0.858,18.20289855,24.36305732,17.02638235,18.20289855,306,1256,1.981687898,21,6.539012739
59,0.074,0.014,0.9997,0.912,25.22624434,20.16143498,18.15507173,25.22624434,1124,5575,1.72896861,242,5.379192825
60,0.104,0,0.9913,0.896,18.20833333,24.94279176,17.26045004,18.20833333,109,437,2.14187643,0,7.556064073
62,0.094,0.076,0.9913,0.829,23.74496644,18.14584511,16.75632462,23.74496644,642,3538,1.710570944,11,5.387789712
63,0.122,0,0.9571,0.878,14.54545455,45,23.81818182,14.54545455,72,160,2.93125,0,10.5875
64,0.156,0,0.9814,0.844,13.92307692,42.54143646,22.58580535,13.92307692,77,181,2.91160221,0,10.42541436
67,0.167,0,0.9939,0.833,21.06666667,33.2278481,21.71780591,21.06666667,105,316,2.373417722,6,8.294303797
68,0.213,0.016,0.9999,0.771,20.68965517,27.83333333,19.4091954,20.68965517,501,1800,2.063888889,6,6.632222222
69,0,0,0,1,25,2.666666667,11.06666667,25,2,75,1.16,3,2.173333333
70,0.273,0.014,0.9998,0.713,20.78571429,26.00229095,18.71520209,20.78571429,227,873,2.043528064,23,6.6930126
71,0.12,0,0.9982,0.88,18.39534884,32.36409608,20.30377797,18.39534884,256,791,2.269279393,3,7.697850822
72,0.101,0.004,0.9942,0.896,17.375,25.53956835,17.16582734,17.375,142,556,2.075539568,10,7.041366906
74,0.293,0.002,1,0.705,19.51592357,18.0156658,15.01263575,19.51592357,552,3064,1.771214099,7,5.920691906
75,0.01,0.017,-0.7499,0.973,57.34482759,7.396271798,25.89643975,57.34482759,123,1663,1.296452195,9,3.148526759
76,0.206,0.002,0.9998,0.792,23.32307692,22.69129288,18.40574792,23.32307692,344,1516,1.931398417,15,6.305408971
77,0.167,0.05,0.9997,0.783,23.29166667,24.38878951,19.07218247,23.29166667,409,1677,1.97137746,1,6.349433512
78,0.128,0.028,0.9984,0.844,16.73770492,22.82076396,15.82338755,16.73770492,233,1021,1.909892262,4,6.233104799
79,0.149,0.005,0.9987,0.846,16.58,23.28106152,15.94442461,16.58,193,829,1.987937274,0,6.572979493
80,0.098,0.007,0.9996,0.895,18.06349206,15.59753954,13.46441264,18.06349206,355,2276,1.728910369,9,5.61599297
81,0.251,0.003,0.9997,0.746,17.62745098,31.47942158,19.64274902,17.62745098,283,899,2.210233593,2,7.258064516
82,0.164,0.015,0.99,0.82,14.05,35.58718861,19.85487544,14.05,100,281,2.537366548,0,8.740213523
83,0.135,0.016,0.9987,0.85,19.3,21.24352332,16.21740933,19.3,205,965,1.87253886,8,6.23626943
84,0.136,0,0.969,0.864,13.15384615,45.61403509,23.5071525,13.15384615,78,171,2.959064327,0,10.5380117
85,0.137,0,0.9648,0.863,14.45454545,45.28301887,23.89502573,14.45454545,72,159,2.968553459,0,10.76100629
86,0.185,0.011,0.9993,0.804,18.3125,23.6632537,16.79030148,18.3125,208,879,1.988623436,10,6.664391354
87,0.134,0,0.9682,0.866,16.6,45.78313253,24.95325301,16.6,76,166,2.981927711,0,10.74096386
88,0.131,0,0.9648,0.869,13.83333333,42.77108434,22.64176707,13.83333333,71,166,2.891566265,0,10.60843373
89,0.227,0,0.9951,0.773,17.06666667,38.671875,22.29541667,17.06666667,99,256,2.66015625,2,9.1015625
90,0.128,0.004,0.9979,0.868,21.7804878,24.8600224,18.65620408,21.7804878,222,893,2.070548712,0,6.807390817
91,0.168,0,0.9928,0.832,15.27777778,32.72727273,19.2020202,15.27777778,90,275,2.447272727,1,8.614545455
92,0.152,0,0.9943,0.848,15.5,29.03225806,17.81290323,15.5,108,372,2.282258065,0,7.940860215
93,0.136,0,0.9886,0.864,15.05263158,31.11888112,18.46860508,15.05263158,89,286,2.416083916,0,8.583916084
94,0.12,0,0.9902,0.88,17.7,32.48587571,20.07435028,17.7,115,354,2.34180791,0,8.11299435
95,0.161,0.016,0.9991,0.823,20.09302326,15.50925926,14.24091301,20.09302326,134,864,1.756944444,9,5.866898148
96,0.152,0.016,0.9991,0.832,19.73333333,16.1036036,14.33477477,19.73333333,143,888,1.775900901,8,5.908783784
97,0.162,0.018,0.9991,0.819,20.30952381,14.1852286,13.79790097,20.30952381,121,853,1.757327081,8,5.861664713
98,0.156,0.017,0.9994,0.827,21.09803922,13.47583643,13.82955026,21.09803922,145,1076,1.727695167,8,5.699814126
99,0.153,0.016,0.9991,0.832,22.74358974,13.30326945,14.41874368,22.74358974,118,887,1.745208568,8,5.816234498
100,0.157,0.015,0.9992,0.828,21.90243902,15.81291759,15.08614265,21.90243902,142,898,1.766146993,9,5.863028953
101,0.157,0.016,0.9993,0.827,21.44444444,13.05699482,13.80057571,21.44444444,126,965,1.717098446,8,5.756476684
102,0.183,0.016,0.9995,0.801,19.08,14.04612159,13.25044864,19.08,134,954,1.753668763,8,5.828092243
103,0.16,0.016,0.9993,0.824,21.15217391,12.64131552,13.51739577,21.15217391,123,973,1.717368962,8,5.71942446
104,0.191,0.019,0.9995,0.79,21.14893617,16.29778672,14.97868916,21.14893617,162,994,1.777665996,8,5.875251509
105,0.169,0.017,0.9992,0.815,19.95121951,14.05867971,13.60395969,19.95121951,115,818,1.740831296,8,5.861858191
106,0.168,0.016,0.9992,0.816,19.31818182,14.58823529,13.56256684,19.31818182,124,850,1.763529412,8,5.942352941
107,0.129,0,0.9891,0.871,16.47368421,29.39297125,18.34666218,16.47368421,92,313,2.332268371,0,8.115015974
108,0.158,0.016,0.9991,0.826,20.18604651,14.51612903,13.88087022,20.18604651,126,868,1.743087558,9,5.853686636
109,0.132,0,0.9723,0.868,12.26666667,39.13043478,20.55884058,12.26666667,72,184,2.701086957,0,9.690217391
111,0.166,0.014,0.9994,0.82,19.7755102,13.82868937,13.44167983,19.7755102,134,969,1.721362229,8,5.807017544
112,0.153,0.017,0.9989,0.83,19.21428571,13.87856258,13.23713932,19.21428571,112,807,1.734820322,9,5.822800496
113,0.155,0.014,0.9993,0.831,20.81632653,14.01960784,13.93437375,20.81632653,143,1020,1.73627451,8,5.784313725
114,0.154,0.016,0.999,0.83,19.6744186,13.59338061,13.30711969,19.6744186,115,846,1.741134752,8,5.827423168
115,0.168,0.017,0.9991,0.815,19.26190476,14.95673671,13.68745659,19.26190476,121,809,1.756489493,8,5.846724351
116,0.161,0.017,0.999,0.822,19.925,14.8055207,13.89220828,19.925,118,797,1.756587202,8,5.897114178
117,0.147,0.016,0.9994,0.837,22.01960784,12.91184328,13.97258045,22.01960784,145,1123,1.711487088,8,5.64381122
118,0.15,0.016,0.9992,0.834,18.71698113,13.30645161,12.8093731,18.71698113,132,992,1.701612903,9,5.646169355
119,0.175,0.016,0.9993,0.808,20.825,13.32533013,13.66013205,20.825,111,833,1.709483794,8,5.74909964
120,0.149,0,0.9948,0.851,20.42105263,29.89690722,20.12718394,20.42105263,116,388,2.268041237,0,7.891752577
121,0.154,0.016,0.999,0.83,21.475,14.66821886,14.45728754,21.475,126,859,1.761350407,8,5.846332945
122,0.176,0.024,0.9998,0.8,17.93137255,17.93329688,14.34586777,17.93137255,328,1829,1.772006561,19,5.832695462
123,0.148,0,0.9726,0.852,16.5,43.03030303,23.81212121,16.5,71,165,2.921212121,0,10.52121212
124,0.142,0,0.969,0.858,13.66666667,43.90243902,23.02764228,13.66666667,72,164,2.945121951,0,10.76829268
126,0,0,0,1,9.6,45.83333333,22.17333333,9.6,22,48,2.895833333,0,11.08333333
128,0.073,0.042,0.765,0.885,22.91666667,30.54545455,21.38484848,22.91666667,84,275,2.178181818,0,7.454545455
129,0.2,0.078,0.9914,0.722,16.58823529,23.40425532,15.99699625,16.58823529,66,282,1.971631206,1,6.507092199
131,0.098,0.008,0.9705,0.895,17,26.98961938,17.59584775,17,78,289,2.100346021,0,7.128027682
132,0.119,0.008,0.9893,0.873,23.57142857,25.45454545,19.61038961,23.57142857,84,330,1.990909091,1,6.718181818
133,0.043,0,0.6124,0.957,16.57142857,34.48275862,20.42167488,16.57142857,40,116,2.362068966,0,8.301724138
134,0.14,0.041,0.9755,0.819,19.15384615,26.5060241,18.2639481,19.15384615,66,249,2.120481928,4,7.236947791
135,0.168,0.005,0.9958,0.827,30.83333333,36.21621622,26.81981982,30.83333333,134,370,2.432432432,0,8.364864865
136,0.084,0,0.9716,0.916,17.05882353,31.03448276,19.23732252,17.05882353,90,290,2.355172414,0,8.193103448
137,0.164,0,0.9881,0.836,13.25,45.75471698,23.60188679,13.25,97,212,2.900943396,0,10.52830189
139,0.159,0.01,0.9931,0.831,16.88235294,36.93379791,21.52646034,16.88235294,106,287,2.599303136,0,8.982578397
140,0.176,0.007,0.9996,0.816,24.20930233,15.56195965,15.90850479,24.20930233,162,1041,1.749279539,14,5.807877041
141,0,0,0,1,8,12.5,8.2,8,2,16,2.3125,0,13.5625
142,0.121,0,0.9571,0.879,12.46153846,44.44444444,22.76239316,12.46153846,72,162,2.956790123,0,10.63580247
143,0.119,0,0.9729,0.881,13.6,38.23529412,20.73411765,13.6,78,204,2.68627451,1,9.495098039
144,0.127,0.024,0.9945,0.849,17.21875,29.94555354,18.86572142,17.21875,165,551,2.268602541,3,7.491833031
145,0.133,0,0.9652,0.867,14.90909091,43.90243902,23.52461197,14.90909091,72,164,2.93902439,0,10.68292683
146,0.119,0,0.9571,0.881,14.54545455,44.375,23.56818182,14.54545455,71,160,2.9375,0,10.6125
148,0.167,0.005,0.9994,0.828,18.55357143,22.61790183,16.4685893,18.55357143,235,1039,1.953801732,0,6.410972089
149,0.174,0.058,0.9999,0.768,19.15671642,25.67199065,17.93148283,19.15671642,659,2567,1.950915466,1,6.162056876
150,0.159,0.003,0.998,0.838,24.875,26.13065327,20.40226131,24.875,156,597,2.128978224,2,7.284757119
151,0.174,0.063,0.9961,0.763,28.5,20.07797271,19.43118908,28.5,103,513,1.826510721,2,5.799220273
152,0.192,0.02,0.9999,0.787,21.83495146,24.76656292,18.64060575,21.83495146,557,2249,1.898176968,1,6.08626056
153,0.119,0,0.9858,0.881,15.66666667,37.23404255,21.16028369,15.66666667,105,282,2.560283688,0,9.014184397
160,0.114,0,0.9589,0.886,17.4,42.52873563,23.97149425,17.4,74,174,2.816091954,0,10.13218391
161,0.088,0.023,0.9769,0.89,13.62162162,23.21428571,14.73436293,13.62162162,117,504,2.087301587,10,7.18452381
162,0.119,0,0.9571,0.881,13.66666667,43.29268293,22.78373984,13.66666667,71,164,2.932926829,0,10.72560976
163,0.126,0,0.9826,0.874,13.88888889,31.2,18.03555556,13.88888889,78,250,2.48,0,8.768
165,0.119,0,0.9571,0.881,12.69230769,43.03030303,22.28904429,12.69230769,71,165,2.951515152,0,10.66666667
167,0.121,0.007,0.9881,0.872,18.15789474,31.5942029,19.90083905,18.15789474,109,345,2.28115942,5,7.904347826
170,0.177,0.004,0.9988,0.819,19.97058824,28.57142857,19.41680672,19.97058824,194,679,2.100147275,9,7.150220913
171,0.164,0.011,0.9981,0.825,19.6,31.12244898,20.28897959,19.6,183,588,2.207482993,9,7.290816327
172,0.15,0.002,0.9983,0.849,18.02777778,25.26964561,17.31896935,18.02777778,164,649,2.095531587,7,7.001540832
173,0.154,0.004,0.9989,0.841,21.81578947,25.33172497,18.85900578,21.81578947,210,829,2.02291918,8,6.800965018
174,0.188,0.009,0.9984,0.803,18.14285714,28.66141732,18.72170979,18.14285714,182,635,2.182677165,1,7.132283465
175,0.164,0.005,0.9988,0.831,18.2,25.68681319,17.55472527,18.2,187,728,2.061813187,10,6.784340659
176,0.167,0.008,0.9991,0.824,21.2,24.88207547,18.43283019,21.2,211,848,2.009433962,4,6.641509434
177,0.164,0.01,0.9992,0.827,23,29.05620361,20.82248144,23,274,943,2.1378579,6,6.938494168
178,0.169,0.005,0.9995,0.826,20.94339623,22.88288288,17.53051164,20.94339623,254,1110,1.957657658,2,6.434234234
179,0.243,0.002,0.9997,0.755,17.06,24.5017585,16.6247034,17.06,209,853,1.963657679,12,6.558030481
180,0.181,0.003,0.999,0.816,19.08108108,25.92067989,18.00070439,19.08108108,183,706,1.994334278,8,6.684135977
181,0.257,0.018,0.9994,0.725,19.18181818,31.7535545,20.37414907,19.18181818,201,633,2.224328594,5,7.203791469
182,0.227,0.001,0.9994,0.772,19.30555556,31.36690647,20.26898481,19.30555556,218,695,2.188489209,3,7.09352518
183,0.204,0.018,0.9995,0.778,17.05769231,23.67531003,16.29320094,17.05769231,210,887,1.951521984,14,6.501691094
184,0.136,0.009,0.9992,0.855,16.15625,21.08317215,14.89576886,16.15625,218,1034,1.917794971,12,6.294970986
185,0.232,0.015,0.9994,0.753,19.77142857,28.32369942,19.2380512,19.77142857,196,692,2.12283237,3,6.887283237
186,0.218,0,0.9991,0.782,20.12903226,24.67948718,17.92340778,20.12903226,154,624,2.099358974,4,6.926282051
187,0.152,0.02,0.999,0.828,17.31578947,23.60688956,16.36907162,17.31578947,233,987,1.981762918,1,6.62006079
190,0.168,0.008,0.9992,0.824,20.37777778,23.33696838,17.48589846,20.37777778,214,917,1.994547437,7,6.6782988
192,0.142,0.01,0.9951,0.848,16.30769231,32.31132075,19.44760522,16.30769231,137,424,2.346698113,0,8.004716981
193,0.154,0.016,0.9979,0.83,21.59259259,26.41509434,19.20307477,21.59259259,154,583,2.104631218,1,7.087478559
194,0.141,0.01,0.9978,0.849,21.10714286,23.68866328,17.91832246,21.10714286,140,591,2.027072758,11,6.964467005
195,0.141,0.022,0.9952,0.837,17.56,24.82915718,16.95566287,17.56,109,439,2.06833713,9,7.332574032
196,0.189,0.007,0.9997,0.804,19.21311475,22.09897611,16.52483635,19.21311475,259,1172,1.95221843,12,6.400170648
197,0.219,0.001,0.9995,0.78,17.925,22.73361227,16.26344491,17.925,163,717,1.970711297,9,6.712691771
198,0.156,0.014,0.997,0.831,19.66666667,24.36440678,17.61242938,19.66666667,115,472,2.099576271,3,7.370762712
199,0.159,0.008,0.9994,0.834,18.1884058,17.37051793,14.22356949,18.1884058,218,1255,1.796812749,25,6.023904382
200,0.141,0.02,0.9999,0.839,26.22131148,16.66145671,17.15310727,26.22131148,533,3199,1.720537668,24,5.681150359
201,0.147,0.029,0.9928,0.824,18.25,30.68493151,19.5739726,18.25,112,365,2.331506849,4,8.147945205
202,0.189,0.006,0.9998,0.805,17.91428571,23.92344498,16.73509228,17.91428571,300,1254,1.965709729,6,6.39553429
